,movie,year,genre,movie rating,director and casts,votes,duration,gross,detail
85,Brave,-2012,"Animation, Adventure, Comedy",7.1,"Directors:
Mark Andrews, 
Brenda Chapman, 
Steve Purcell
| 
    Stars:
Kelly Macdonald, 
Billy Connolly, 
Emma Thompson, 
Julie Walters",344844,93 min,"$237.28M
","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
86,Searching for Sugar Man,-2012,"Documentary, Biography, Music",8.2,"Director:
Malik Bendjelloul
| 
    Stars:
Rodriguez, 
Stephen 'Sugar' Segerman, 
Dennis Coffey, 
Mike Theodore",59353,86 min,"3.97M
","Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez."
87,The Artist,(I) (2011),"Comedy, Drama, Romance",7.9,"Director:
Michel Hazanavicius
| 
    Stars:
Jean Dujardin, 
Bérénice Bejo, 
John Goodman, 
James Cromwell",218970,100 min,"$44.67M
",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
88,Hugo,-2011,"Drama, Family, Fantasy",7.5,"Director:
Martin Scorsese
| 
    Stars:
Asa Butterfield, 
Chloë Grace Moretz, 
Christopher Lee, 
Ben Kingsley",287658,126 min,"$73.86M
","In Paris in 1931, an orphan named Hugo Cabret, who lives in the walls of a train station, is wrapped up in a mystery involving his late father and an automaton."
89,The Iron Lady,-2011,"Biography, Drama",6.4,"Director:
Phyllida Lloyd
| 
    Stars:
Meryl Streep, 
Jim Broadbent, 
Richard E. Grant, 
Susan Brown",97367,105 min,"30.02M
","An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene."
90,The Descendants,-2011,"Comedy, Drama",7.3,"Director:
Alexander Payne
| 
    Stars:
George Clooney, 
Shailene Woodley, 
Amara Miller, 
Nick Krause",225014,115 min,"$82.58M
",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
91,The Girl with the Dragon Tattoo,-2011,"Crime, Drama, Mystery",7.8,"Director:
David Fincher
| 
    Stars:
Daniel Craig, 
Rooney Mara, 
Christopher Plummer, 
Stellan Skarsgård",392862,158 min,"$102.52M
","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
92,Midnight in Paris,-2011,"Comedy, Fantasy, Romance",7.7,"Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller",361457,94 min,"$56.82M
","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
93,The Help,-2011,Drama,8.1,"Director:
Tate Taylor
| 
    Stars:
Emma Stone, 
Viola Davis, 
Octavia Spencer, 
Bryce Dallas Howard",398119,146 min,"$169.71M
","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
94,Jodaeiye Nader az Simin,-2011,"Drama, Thriller",8.3,"Director:
Asghar Farhadi
| 
    Stars:
Payman Maadi, 
Leila Hatami, 
Sareh Bayat, 
Shahab Hosseini",201276,123 min,"$7.10M
",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
95,Undefeated,-2011,"Documentary, Sport",7.7,"Directors:
Daniel Lindsay, 
T.J. Martin
| 
    Stars:
Bill Courtney, 
O.C. Brown, 
Montrail 'Money' Brown, 
Chavis Daniels",6484,113 min,".56M
",Chronicles three underprivileged students from inner-city Memphis and their volunteer coach who tries to help them beat the odds on and off the field.
96,The Muppets,-2011,"Adventure, Comedy, Family",7.1,"Director:
James Bobin
| 
    Stars:
Amy Adams, 
Jason Segel, 
Chris Cooper, 
Rashida Jones",83440,103 min,"88.63M
",A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.
97,Beginners,-2010,"Comedy, Drama, Romance",7.2,"Director:
Mike Mills
| 
    Stars:
Ewan McGregor, 
Christopher Plummer, 
Mélanie Laurent, 
Goran Visnjic",84436,105 min,"5.79M
",A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover.
98,Rango,-2011,"Animation, Adventure, Comedy",7.2,"Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Isla Fisher, 
Timothy Olyphant, 
Abigail Breslin",219148,107 min,"$123.48M
","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
